fips,year,V1
20093,2008,1
20093,2010,1
20093,2011,1
20093,2013,1
20093,2014,1
20105,2007,1
20105,2009,1
20105,2010,1
20105,2011,1
20105,2012,1
20105,2013,1
20105,2014,2
20105,2015,2
20123,2009,3
20137,2003,5
20137,2005,2
20137,2006,2
20137,2007,4
20153,2005,1
20153,2006,1
20155,2000,3
20155,2013,2
20159,2010,1
20161,2016,1
20163,2004,2
20163,2005,2
20163,2006,2
20163,2007,2
20163,2008,1
20165,2007,2
20165,2009,1
20165,2010,1
20165,2011,1
20165,2012,1
20165,2013,2
20183,2005,1
20183,2006,1
20183,2007,1
20183,2008,1
20183,2009,1
20199,1999,1
24021,2007,1
24031,2007,1
25017,1999,3
25017,2000,2
25017,2001,2
25017,2002,1
25017,2003,2
25017,2004,2
25017,2005,1
25017,2006,3
25017,2007,1
25017,2010,1
25027,1999,5
25027,2000,5
25027,2001,2
25027,2002,6
25027,2003,4
25027,2004,6
25027,2005,7
25027,2006,9
25027,2007,7
25027,2008,5
29093,2002,3
33003,1999,1
33003,2000,2
33003,2001,7
33003,2002,1
33003,2003,4
33003,2004,8
33003,2005,5
33003,2006,7
33003,2007,4
33003,2008,3
33003,2010,1
33003,2011,2
33003,2015,1
33005,2000,2
33005,2003,2
33005,2004,2
33005,2005,2
33005,2006,3
33005,2007,2
33005,2014,1
33009,1999,2
33009,2001,2
33009,2002,1
33009,2004,3
33009,2005,5
33009,2006,4
33009,2014,2
33011,2000,1
33011,2001,3
33011,2003,4
33011,2004,9
33011,2006,3
33011,2007,5
33011,2008,4
33011,2010,2
33011,2012,6
33011,2013,5
33011,2015,2
33013,1999,2
33013,2000,2
33013,2002,3
33013,2003,3
33013,2004,7
33013,2005,4
33013,2006,3
33013,2007,4
33013,2008,3
33013,2009,2
33013,2010,1
33013,2015,3
33015,1999,2
33015,2000,4
33015,2001,7
33015,2002,8
33015,2003,12
33015,2004,10
33015,2005,6
33015,2006,8
33015,2007,7
33015,2008,8
33015,2009,4
33015,2013,11
33015,2014,6
33017,2001,2
33017,2002,4
33017,2003,3
33017,2004,5
33017,2005,5
33017,2006,6
33017,2007,2
34001,2009,1
34011,2005,2
34023,2012,1
34031,2006,1
34031,2009,1
34037,2006,3
34037,2007,2
34037,2008,2
34037,2009,2
34037,2010,2
34037,2013,1
34037,2014,2
35001,2006,1
35001,2007,3
35001,2009,4
35001,2010,3
35001,2011,3
35001,2012,3
35001,2013,3
35001,2014,3
35001,2015,3
35001,2016,2
35003,2007,1
35003,2008,1
35003,2012,1
35003,2013,1
35013,2003,6
35013,2004,1
35013,2006,4
35013,2007,8
35013,2008,8
35013,2009,7
35013,2010,11
35013,2011,5
35013,2012,6
35013,2014,6
35013,2015,4
35013,2016,3
35017,2004,2
35017,2007,3
35017,2008,2
35017,2012,2
35017,2013,2
35017,2014,2
35019,2003,2
35019,2005,1
35019,2012,1
35023,2004,1
35023,2006,1
35023,2007,1
35023,2008,1
35023,2009,1
35023,2011,2
35023,2012,1
35023,2013,1
35023,2014,1
35023,2015,1
35023,2016,1
35031,2006,1
35039,2004,3
35039,2007,2
35039,2008,3
35039,2009,9
35039,2010,10
35039,2011,4
35039,2012,2
35039,2013,3
35039,2014,3
35039,2015,5
35039,2016,5
35043,2005,6
35049,1999,4
35049,2004,5
35049,2007,6
35049,2008,4
35049,2009,5
35049,2010,4
35049,2011,5
35049,2012,4
35049,2013,4
35049,2014,3
35049,2015,4
35049,2016,2
35053,2003,2
35055,2003,2
35055,2004,1
35055,2007,4
35055,2008,2
35055,2009,2
35055,2010,1
35055,2011,3
35055,2012,3
35055,2013,2
35055,2014,3
35055,2015,3
35055,2016,2
35057,2012,1
36027,2015,2
36027,2016,4
36071,2006,3
36071,2007,2
36071,2008,2
36071,2009,2
36071,2015,3
36117,2004,1
36119,2007,1
36119,2015,1
37009,2010,1
37037,2012,3
37037,2013,1
37037,2014,1
37081,2014,1
37099,2011,1
37099,2012,1
37099,2013,2
37119,2010,1
37131,2013,3
37159,2013,1
37183,2010,2
37183,2011,1
37183,2012,1
37183,2013,2
41045,2006,3
41045,2007,3
42001,2001,1
42001,2002,1
42001,2005,2
42001,2006,1
42001,2008,1
42001,2009,1
42017,2015,1
42017,2016,1
45039,2009,1
45039,2010,2
45063,2009,2
45063,2010,2
45091,2008,1
49011,2007,1
50023,2003,1
50023,2004,1
50023,2005,1
50023,2006,1
53019,2007,1
53021,2009,7
53047,1999,1
53047,2003,7
53047,2004,4
53047,2005,4
53047,2006,4
53047,2007,5
53047,2008,5
53047,2009,6
53047,2010,5
53047,2011,3
53047,2012,3
53047,2013,2
53047,2014,2
53047,2015,1
53047,2016,3
53051,2006,1
53065,2009,3
55115,2000,1
55115,2001,1
06007,2004,1
06007,2005,2
06007,2008,1
06007,2009,2
06007,2011,1
06007,2012,1
06007,2013,1
06011,2000,2
06011,2003,1
06011,2004,1
06011,2008,3
06011,2009,3
06011,2010,3
06011,2011,2
06011,2012,1
06013,2003,1
06013,2006,2
06013,2007,2
06013,2008,2
06013,2009,4
06013,2010,1
06013,2011,2
06013,2012,4
06013,2013,1
06013,2014,1
06013,2015,3
06013,2016,3
06017,2000,1
06017,2003,1
06017,2006,1
06017,2009,1
06017,2010,1
06017,2013,1
06017,2014,1
06017,2015,1
06017,2016,1
06019,2000,3
06019,2001,4
06019,2003,2
06019,2008,4
06019,2009,4
06019,2015,6
06027,2003,2
06027,2014,1
06031,2000,1
06031,2001,1
06031,2002,3
06031,2003,2
06031,2004,4
06031,2005,2
06031,2006,3
06031,2007,3
06031,2008,4
06031,2009,1
06031,2010,2
06031,2011,4
06031,2013,3
06031,2014,3
06031,2015,2
06031,2016,1
06037,2000,1
06037,2001,6
06037,2003,1
06037,2004,2
06037,2005,3
06037,2007,1
06037,2008,4
06037,2009,2
06037,2010,2
06037,2011,2
06037,2014,5
06037,2015,6
06037,2016,5
06041,2004,1
06041,2005,1
06041,2008,1
06043,2008,1
06045,2000,1
06045,2001,1
06045,2002,1
06045,2003,1
06045,2004,1
06045,2005,1
06045,2006,1
06045,2007,1
06045,2008,1
06047,2002,2
06047,2003,2
06047,2004,3
06047,2005,2
06047,2006,1
06047,2007,2
06047,2008,1
06047,2009,2
06047,2010,1
06047,2011,2
06047,2012,2
06047,2013,2
06047,2014,2
06047,2015,2
06047,2016,2
06051,2012,2
06051,2015,1
06053,2003,5
06053,2004,3
06053,2005,3
06053,2006,3
06053,2007,3
06053,2008,4
06053,2009,6
06053,2010,9
06053,2012,14
06053,2013,17
06053,2014,18
06053,2015,19
06053,2016,18
06055,2007,1
06055,2009,1
06055,2012,1
06055,2014,1
06055,2016,1
06057,2004,1
06057,2005,1
06057,2006,1
06057,2007,1
06057,2009,1
06057,2010,1
06057,2011,1
06057,2014,2
06057,2015,1
06057,2016,1
06061,2004,1
06061,2005,1
06061,2006,1
06061,2007,3
06061,2008,1
06061,2009,1
06061,2010,1
06061,2011,2
06061,2012,2
06063,2000,1
06063,2001,1
06063,2002,1
06063,2005,1
06063,2006,1
06063,2007,2
06063,2008,2
06063,2009,3
06063,2010,2
06063,2011,2
06063,2012,2
06063,2014,1
06063,2015,2
06063,2016,1
06065,2005,2
06065,2010,3
06067,2001,5
06067,2002,2
06067,2003,4
06067,2004,5
06067,2005,3
06067,2006,5
06067,2007,10
06067,2008,9
06067,2009,6
06067,2010,6
06067,2011,9
06067,2012,12
06067,2013,8
06067,2014,8
06067,2015,9
06067,2016,9
06069,2005,2
06069,2006,2
06069,2007,2
06069,2009,1
06069,2011,1
06069,2015,1
06071,2002,2
06077,2002,1
06077,2004,5
06077,2008,8
06077,2010,3
06077,2011,2
06077,2012,4
06077,2013,4
06077,2014,3
06077,2015,4
06077,2016,4
06079,2002,2
06079,2003,4
06079,2004,3
06079,2005,3
06079,2006,2
06079,2007,4
06079,2008,5
06079,2009,5
06079,2010,4
06079,2011,5
06079,2012,4
06079,2013,3
06079,2014,2
06079,2015,1
06079,2016,2
06083,2001,2
06083,2002,2
06083,2004,2
06083,2007,2
06083,2013,1
06087,2003,1
06087,2006,1
06087,2008,1
06091,2006,1
06091,2007,1
06091,2008,1
06091,2009,1
06091,2010,1
06091,2011,1
06091,2012,1
06091,2013,1
06091,2014,1
06091,2015,1
06091,2016,1
06095,2000,1
06095,2002,1
06095,2003,1
06095,2005,2
06095,2006,1
06095,2007,1
06095,2008,1
06095,2013,1
06095,2014,1
06095,2015,2
06097,2000,1
06097,2001,2
06097,2002,1
06097,2003,3
06097,2004,4
06097,2005,2
06097,2006,4
06097,2007,6
06097,2008,5
06097,2009,6
06097,2010,8
06097,2011,5
06097,2012,7
06097,2013,3
06097,2014,3
06097,2015,4
06097,2016,1
06099,2002,2
06099,2004,4
06099,2006,5
06099,2007,9
06099,2008,9
06099,2009,9
06099,2010,12
06099,2012,12
06099,2013,13
06101,2000,2
06101,2001,2
06101,2002,6
06101,2003,6
06101,2004,3
06101,2005,3
06101,2006,4
06101,2007,3
06101,2008,3
06101,2009,4
06101,2010,3
06101,2011,3
06101,2012,4
06101,2013,1
06101,2014,1
06101,2015,2
06101,2016,1
06103,2002,2
06103,2003,3
06103,2005,1
06103,2006,1
06103,2007,2
06103,2008,3
06103,2009,2
06103,2010,3
06103,2011,2
06103,2012,2
06103,2013,2
06103,2014,2
06103,2015,2
06103,2016,2
06105,2000,1
06107,2002,7
06107,2003,9
06107,2004,9
06107,2006,11
06107,2009,16
06107,2010,15
06113,2007,1
06113,2009,1
06115,2000,2
06115,2003,2
06115,2005,3
06115,2006,2
06115,2007,2
06115,2008,1
06115,2010,1
06115,2011,1
06115,2013,1
06115,2014,1
06115,2015,3
06115,2016,1
08003,1999,2
08003,2000,3
08003,2001,5
08003,2002,3
08003,2003,3
08003,2004,4
08003,2005,4
08003,2006,3
08003,2007,4
08003,2008,4
08003,2009,3
08003,2013,1
08003,2016,1
08015,2016,1
08089,2004,1
08113,2000,1
08113,2004,3
08115,2009,1
08121,2005,1
08125,2001,1
08125,2004,1
08125,2005,1
08125,2006,1
08125,2009,1
09001,2002,8
09003,2002,5
09003,2003,3
09003,2004,4
09003,2005,3
09003,2006,2
09005,2002,3
09005,2003,1
09005,2004,1
09005,2005,2
09007,2001,1
09007,2002,7
09007,2003,7
09007,2004,1
09007,2011,4
09009,2002,7
09009,2003,5
09009,2004,2
09011,2002,8
09011,2003,4
09011,2009,1
09011,2010,1
09011,2011,2
09013,2002,1
09013,2004,1
09013,2005,1
09015,2003,5
09015,2004,1
09015,2005,1
09015,2006,4
09015,2007,4
09015,2008,3
09015,2009,2
09015,2010,2
09015,2013,1
09015,2014,1
09015,2015,1
09015,2016,1
12023,2000,1
12023,2009,1
12029,2000,2
12057,2003,2
12057,2004,7
12057,2006,5
12057,2007,3
12057,2009,3
12057,2010,1
12057,2011,2
12069,1999,1
12071,2000,1
12083,2000,2
12089,2004,1
12101,2003,4
12101,2010,4
12101,2011,2
12103,2002,1
12105,2000,3
12105,2003,1
12105,2004,5
12105,2006,8
12105,2007,4
12105,2011,5
12107,2000,2
12127,2005,10
19021,2002,3
19021,2003,2
19021,2004,1
19021,2005,1
19021,2006,1
19021,2010,1
19025,2002,2
19025,2003,1
19027,2002,4
19027,2003,3
19027,2004,1
19027,2006,2
19027,2008,1
19027,2011,1
19033,1999,2
19033,2000,2
19033,2001,2
19033,2002,2
19033,2003,2
19033,2004,1
19049,2002,2
19049,2003,2
19059,2002,2
19059,2003,2
19063,2002,2
19063,2003,2
19073,2001,1
19073,2002,3
19073,2003,3
19073,2004,1
19073,2005,1
19073,2010,1
19073,2011,1
19073,2012,1
19075,2001,1
19077,2002,1
19077,2003,1
19077,2009,1
19079,2001,1
19079,2002,2
19079,2003,2
19079,2004,2
19079,2005,2
19079,2006,1
19079,2007,1
19081,2001,1
19081,2002,2
19081,2003,2
19081,2008,1
19081,2012,1
19083,2001,1
19083,2002,2
19083,2003,2
19083,2007,1
19083,2008,1
19083,2010,1
19083,2014,1
19083,2015,1
19085,2009,1
19091,2002,1
19103,2001,2
19103,2002,3
19103,2003,3
19103,2004,2
19103,2005,2
19103,2006,4
19103,2008,2
19103,2009,1
19103,2011,2
19103,2012,1
19103,2013,1
19103,2014,2
19103,2015,1
19103,2016,1
19109,2002,1
19109,2003,1
19109,2012,1
19139,2006,1
19147,2002,2
19147,2003,2
19147,2009,1
19147,2011,1
19151,2002,1
19153,2002,2
19153,2003,1
19163,2000,1
19163,2001,1
19163,2002,3
19163,2004,7
19163,2014,1
19165,2003,1
19169,2001,1
19169,2002,2
19169,2003,1
19169,2009,1
19193,2003,1
19193,2006,1
19193,2009,1
19195,2002,1
19195,2003,1
19197,2002,2
19197,2003,2
19197,2004,2
19197,2005,1
20017,2001,1
20025,2000,1
20025,2007,1
20025,2008,1
20025,2009,1
20025,2010,1
20025,2011,1
20025,2012,1
20025,2013,1
20025,2014,1
20025,2015,1
20025,2016,1
20039,2013,1
20039,2014,1
20051,2000,1
20061,2000,1
20061,2005,2
20061,2006,2
20065,2002,1
20065,2008,1
20065,2012,2
20065,2013,1
20079,2000,1
20103,2000,1
20103,2002,2
20105,2002,1
20117,2014,1
20113,2003,1
20123,2011,3
20137,2000,2
20137,2008,1
20137,2009,3
20137,2010,1
20137,2011,2
20137,2012,1
20137,2013,1
20137,2015,1
20147,2000,7
20147,2003,2
20149,1999,1
20149,2005,1
20149,2007,1
20149,2009,1
20153,2000,1
20153,2003,1
20153,2007,1
20153,2008,2
20153,2009,1
20153,2010,1
20153,2011,1
20155,2003,3
20155,2007,3
20155,2008,3
20155,2009,2
20155,2010,2
20155,2011,2
20165,2000,1
20165,2003,1
20171,2000,1
20171,2008,1
20171,2011,1
20183,2012,1
20183,2013,1
20183,2014,1
20191,2000,2
20191,2003,2
20191,2007,7
20191,2008,5
20191,2009,2
20191,2010,3
20191,2011,2
20191,2012,2
20191,2013,2
20191,2014,3
20191,2015,3
20191,2016,5
21153,2002,1
21147,2004,1
22003,2010,1
22015,2000,1
22017,2001,1
22045,2003,1
22045,2008,1
22045,2013,1
22047,2010,2
22047,2011,2
22047,2012,1
22055,2004,1
22055,2007,1
22055,2008,1
22055,2009,1
22055,2010,2
22055,2011,1
22055,2012,1
22055,2013,1
22055,2014,1
22055,2015,1
22075,2000,1
22075,2001,2
22079,2006,1
22079,2007,1
22079,2008,2
22079,2009,2
22079,2010,2
22079,2011,2
22079,2012,2
22079,2013,2
22079,2014,1
22079,2015,1
22093,2000,3
22093,2001,1
22099,2004,1
22099,2006,2
22099,2007,3
22099,2008,2
22099,2009,3
22099,2010,4
22099,2011,3
22099,2012,2
22099,2013,3
22099,2014,2
22099,2015,1
22101,2000,1
22101,2001,1
22113,2009,1
22113,2010,2
22113,2011,3
22121,2010,1
22121,2012,1
23001,1999,2
23001,2000,4
23001,2002,3
23001,2003,2
23001,2004,1
23001,2005,2
23001,2006,2
23001,2007,1
23001,2008,1
23001,2009,1
23003,2001,2
23003,2004,12
23003,2005,9
23003,2006,6
23005,2000,1
23005,2003,2
23005,2006,1
23005,2013,1
23005,2014,1
23007,1999,1
23007,2003,1
23009,1999,2
23009,2000,5
23009,2002,5
23009,2003,4
23009,2004,6
23009,2005,6
23009,2006,8
23009,2009,2
23009,2012,2
23011,1999,2
23011,2000,1
23011,2001,2
23011,2003,2
23011,2004,3
23011,2005,3
23011,2007,1
23011,2009,1
23011,2010,1
23011,2011,2
23011,2014,1
23013,1999,1
23013,2002,1
23013,2014,1
23019,1999,3
23019,2000,3
23019,2001,1
23019,2002,1
23019,2003,2
23019,2004,6
23019,2007,3
23019,2008,4
23019,2009,3
23019,2010,4
23019,2013,1
23019,2016,1
23021,2001,1
23021,2003,1
23021,2007,2
23021,2009,3
23021,2010,3
23021,2015,1
23023,2002,2
23023,2011,1
23025,2003,1
23025,2006,5
23025,2007,3
23025,2008,6
23025,2009,4
23025,2010,2
23025,2011,1
23025,2014,1
23025,2015,1
23027,1999,1
23027,2001,1
23027,2002,1
23027,2003,1
23027,2004,2
23027,2005,1
23027,2006,1
23027,2008,1
23027,2014,1
23029,2000,1
23029,2003,1
23029,2006,2
23029,2010,1
23029,2011,2
23029,2012,1
23031,1999,2
23031,2000,1
23031,2001,2
23031,2002,2
23031,2003,4
23031,2004,1
23031,2005,4
23031,2006,4
23031,2007,3
23031,2008,4
23031,2009,1
23031,2010,1
23031,2012,2
23031,2013,2
23031,2014,2
23031,2015,1
23031,2016,2
24009,2002,1
24009,2004,1
24009,2005,1
24009,2006,2
24009,2015,1
24011,2000,1
24011,2003,1
24011,2005,1
24011,2007,1
24011,2008,1
24011,2009,1
24011,2010,1
24011,2011,1
24011,2012,1
24011,2013,1
24011,2014,1
24011,2015,2
24015,2009,3
24019,1999,1
24019,2000,1
24019,2002,1
24019,2003,3
24019,2005,4
24019,2006,2
24019,2007,2
24019,2008,1
24019,2009,1
24019,2010,1
24021,2010,1
24023,2009,3
24023,2012,3
24023,2015,1
24035,1999,2
24035,2000,1
24035,2002,1
24035,2003,2
24035,2005,1
24035,2006,1
24035,2007,1
24037,2000,3
24037,2001,4
24037,2002,1
24037,2003,4
24037,2004,4
24037,2005,3
24037,2006,6
24037,2007,4
24037,2008,3
24037,2011,1
24037,2012,1
24041,1999,2
24041,2000,1
24041,2001,1
24041,2002,2
24041,2003,1
24041,2004,2
24041,2005,4
24041,2006,3
24041,2007,3
24041,2008,2
24041,2012,1
24041,2015,1
24045,1999,1
25003,2010,1
25013,2004,3
25027,2009,1
25027,2010,4
27003,2010,1
27003,2011,1
27003,2012,1
27005,1999,1
27005,2002,1
27005,2003,2
27005,2005,1
27005,2006,3
27005,2007,1
27005,2008,1
27005,2009,2
27005,2010,1
27005,2011,1
27005,2012,1
27005,2013,1
27005,2014,1
27005,2015,1
27005,2016,1
27021,2002,1
27021,2003,1
27021,2009,1
27027,1999,1
27027,2000,1
27027,2001,2
27027,2002,1
27027,2004,1
27027,2006,1
27043,1999,1
27043,2002,1
27043,2006,1
27047,2012,1
27047,2013,1
27047,2014,1
27047,2016,1
27051,2000,2
27051,2001,1
27051,2002,1
27051,2003,3
27051,2005,1
27051,2006,1
27051,2007,1
27051,2008,1
27051,2009,3
27051,2010,1
27051,2011,2
27051,2012,1
27051,2013,1
27051,2014,1
27051,2015,1
27067,2008,1
27071,2000,1
27071,2002,3
27071,2003,1
27071,2004,1
27071,2006,1
27071,2009,1
27071,2010,1
27071,2011,1
27073,2008,1
27089,1999,3
27089,2001,3
27091,2011,1
27085,2000,1
27085,2001,1
27085,2002,1
27085,2004,1
27085,2007,1
27085,2010,1
27085,2012,1
27093,2000,1
27093,2002,1
27093,2003,1
27093,2005,1
27093,2006,1
27093,2009,1
27107,2001,1
27107,2003,1
27107,2006,1
27107,2007,1
27107,2008,1
27107,2009,1
27107,2010,1
27111,1999,1
27111,2000,2
27111,2002,2
27111,2004,2
27111,2005,1
27111,2006,6
27111,2007,2
27111,2008,2
27111,2009,2
27111,2011,1
27111,2012,1
27111,2013,1
27119,1999,1
27119,2000,1
27119,2001,3
27119,2002,2
27119,2004,1
27119,2005,1
27119,2009,1
27119,2012,1
27119,2013,3
27119,2014,1
27119,2015,1
27119,2016,2
27121,2001,1
27121,2009,1
27129,2000,1
27129,2001,1
27129,2002,1
27129,2003,1
27129,2004,2
27129,2006,1
27129,2007,2
27129,2008,2
27129,2009,2
27129,2010,1
27129,2014,1
27135,1999,1
27135,2002,1
27135,2004,1
27135,2005,1
27135,2006,1
27135,2009,2
27135,2010,1
27135,2012,1
27135,2015,1
27143,2000,1
27143,2001,1
27143,2002,1
27143,2004,1
27143,2005,1
27143,2006,1
27143,2012,1
27143,2013,1
27145,2001,1
27145,2002,1
27145,2004,1
27145,2007,1
27145,2008,1
27155,1999,1
27155,2002,1
27155,2006,1
27155,2007,1
27155,2008,1
27155,2009,1
27155,2010,1
27159,2009,1
27159,2011,1
27159,2012,1
27161,2001,1
27161,2002,1
27161,2006,1
27161,2009,1
27161,2011,1
27171,2001,1
27171,2002,1
27171,2003,1
27173,2001,1
27173,2002,1
27173,2014,1
29025,1999,4
29025,2004,5
29025,2007,2
29025,2010,4
29031,2000,1
29031,2001,1
29047,1999,3
29047,2007,3
29069,2015,1
29091,2001,1
29097,2010,1
29107,2007,2
29143,2006,2
29165,2010,1
29177,1999,3
29177,2001,1
29177,2004,1
29177,2007,1
29177,2010,1
29201,2001,1
29201,2005,1
29201,2008,1
29201,2009,1
29201,2011,1
29183,2009,1
29183,2016,1
29187,2001,1
29209,2001,1
29209,2016,1
33001,2002,1
33009,2011,1
33011,2002,2
33011,2009,3
33011,2011,1
33011,2014,2
33013,2001,2
33013,2011,2
33013,2012,3
33013,2013,1
33013,2014,2
33015,2010,1
33015,2011,2
33015,2012,4
33015,2015,6
33017,2009,3
33017,2011,2
33017,2013,1
33017,2014,1
33017,2015,1
34003,1999,2
34019,1999,1
34019,2000,1
34019,2001,1
34019,2002,1
34019,2003,1
34019,2005,1
34021,1999,1
34021,2000,1
34021,2002,1
34027,2002,2
34031,2000,2
35001,2000,1
35001,2001,2
35001,2003,3
35001,2008,2
35003,2001,1
35003,2002,1
35003,2010,2
35006,2001,1
35006,2003,2
35006,2007,1
35006,2009,1
35006,2012,1
35006,2013,1
35006,2014,1
35006,2015,1
35006,2016,1
35007,2003,5
35013,1999,2
35013,2001,3
35013,2002,4
35013,2005,1
35013,2013,3
35017,2001,1
35017,2003,1
35017,2009,1
35017,2010,1
35019,2000,1
35025,2004,1
35025,2007,1
35025,2008,1
35029,2000,1
35029,2002,1
35029,2003,1
35029,2006,1
35029,2007,2
35029,2008,1
35031,2001,1
35031,2004,1
35031,2010,1
35037,2002,1
35037,2003,1
35039,2001,3
35039,2002,2
35039,2005,3
35041,1999,1
35041,2002,1
35041,2003,2
35041,2007,2
35041,2008,2
35041,2009,1
35041,2011,1
35041,2012,1
35041,2015,1
35041,2016,2
35047,1999,1
35047,2007,2
35047,2014,1
35043,1999,1
35043,2000,2
35043,2001,8
35043,2002,4
35043,2003,5
35043,2004,4
35043,2006,1
35043,2007,9
35043,2008,8
35043,2009,8
35043,2010,8
35043,2011,5
35043,2012,5
35043,2013,6
35043,2014,4
35043,2015,1
35043,2016,3
35049,2001,3
35049,2002,1
35049,2003,3
35049,2005,2
35051,2007,1
35051,2008,1
35053,1999,1
35053,2000,1
35053,2001,2
35053,2002,2
35053,2004,1
35053,2007,3
35053,2008,2
35053,2009,2
35053,2010,2
35053,2011,1
35053,2012,2
35053,2015,1
35053,2016,1
35061,2000,2
35061,2001,2
35061,2002,3
35061,2003,1
35061,2004,1
35061,2007,4
35061,2008,3
35061,2009,3
35061,2010,2
35061,2011,2
35061,2012,1
